disease,symptom
Babesiosis,fever  chills  sweats  headache  body aches  loss of appetite  nausea  or fatigue
Bacterial vaginosis,A thin white or gray vaginal discharge; Pain  itching  or burning in the vagina; A strong fish-like odor  especially after sex; Burning when peeing; and. Itching around the outside of the vagina.
Benign prostate enlargement,"make it difficult for you to start urinating weaken the flow of urine or cause ""stopping and starting"" cause you to strain to pass urine cause you to need to urinate frequently cause you to wake up frequently during the night to urinate cause a sudden urge to urinate  which can result in urinary incontinence if you can't find a toilet quickly enough cause you to not be able to empty your bladder fully cause blood in the urine (haematuria)"
Bile duct cancer (cholangiocarcinoma),jaundice – yellowing of the skin and the whites of the eyes  itchy skin  pale stools and dark-coloured urine  unintentional weight loss abdominal pain
Binge eating,you eat much faster than normal you eat until you feel uncomfortably full you eat a large amount of food when you are not hungry you eat alone or secretly due to being embarrassed about the amount of food you are consuming you have feelings of guilt  shame or disgust afterwards
Bipolar disorder,depression – feeling very low and lethargic mania – feeling very high and overactive (less severe mania is known as hypomania)
Bladder cancer,a need to urinate on a more frequent basis sudden urges to urinate a burning sensation when passing urine If bladder cancer reaches an advanced stage and begins to spread  symptoms can include:  pelvic pain  bone pain unintentional weight loss  swelling of the legs
Blood poisoning (sepsis),"Temperature over 38C (babies under 3 months) over 39C (babies aged 3 to 6 months) below 36C – check 3 times in a 10-minute period a high temperature in a child who can’t be encouraged to show interest in anything Breathing difficulty breathing – this looks like hard work grunting with every breath struggling to speak more than a few words at once (for older children who normally talk) breathing that obviously ""pauses"" Eating and drinking no interest in feeding (child under 1 month) not drinking for more than 8 hours (when awake) black  green or bloody vomit Body a soft spot on a baby's head that bulges “sunken” eyes a baby that’s floppy a child that can’t be encouraged to show interest in anything weak  whining or continuous crying in a younger child confusion in an older child irritableness unresponsive stiffness in the neck  especially when trying to look up or down not had a wee or wet nappy for 12 hours"
Bone cancer,persistent bone pain that gets worse over time and continues into the night swelling and redness (inflammation) over a bone  which can make movement difficult if the affected bone is near a joint a noticeable lump over a bone a weak bone that breaks (fractures) more easily than normal
Bone cancer: Teenagers and young adults,pain or tenderness – this may start as an ache that doesn’t go away and may be made worse by exercise or feel worse at night swelling around the affected area of bone – swelling may not show up until the tumour is quite large and it isn’t always possible to see or feel a lump if the affected bone is deep inside the body reduced movement – if the bone tumour is near a joint (like an elbow or knee)  it can make it harder to move the joint; if it’s in a leg bone  it may cause a limp; if it’s in the backbone (spine)  it may press on nerves and cause tingling and numbness in the legs or arms a broken bone – a bone may break suddenly  or after only a minor fall or accident if the bone has been weakened by cancer. There might also be other symptoms including:  tiredness  a high temperature  loss of appetite  weight loss
Borreliosis, fever  headache  fatigue  and a characteristic skin rash called erythema migrans
Botulism,Difficulty swallowing. Muscle weakness. Double vision. Drooping eyelids. Blurry vision. Slurred speech. Difficulty breathing. Difficulty moving the eyes.
Bowel cancer,a persistent change in bowel habit  causing them to go to the toilet more often and pass looser stools  usually together with blood on or in their stools a persistent change in bowel habit without blood in their stools  but with abdominal pain blood in the stools without other haemorrhoid symptoms  such as soreness  discomfort  pain  itching  or a lump hanging down outside the back passage abdominal pain  discomfort or bloating always provoked by eating  sometimes resulting in a reduction in the amount of food eaten and weight loss
Bowel incontinence,problems with the rectum – the rectum is unable to retain poo properly until it's time to go to the toilet problems with the sphincter muscles – the muscles at the bottom of the rectum don't work properly nerve damage – the nerve signals sent from the rectum don't reach the brain
Bowel polyps,a small amount of rectal bleeding (blood in your stool) mucus to be produced when you open your bowels diarrhoea or constipation abdominal pain
Brain stem death,person no longer has any brain stem functions  and has permanently lost the potential for consciousness and the capacity to breathe
Brain tumours,severe  persistent headaches seizures (fits) persistent nausea  vomiting and drowsiness mental or behavioural changes  such as memory problems or changes in personality progressive weakness or paralysis on one side of the body  vision problems  or speech problems
Brain tumours: Children,headaches (often worse in the morning) vomiting (usually in the morning) or feeling sick fits (seizures) feeling very irritated or losing interest in day-to-day things eye problems  such as abnormal eye movements  blurring or double vision feeling very tired much more quickly than usual feeling extremely sleepy (drowsy) for no reason
Brain tumours: Teenagers and young adults,cause fits affect the messages sent by that part of the brain to other parts of the body cause ‘raised intracranial pressure’ – there’s only a certain amount of space in the skull for the brain and as a tumour grows  there can be a rise in pressure in or around the brain Common symptoms of ‘raised intracranial pressure’ are:  headaches  which are often worse in the morning vomiting (usually in the morning) or feeling sick fits (seizures) feeling very irritated or losing interest in day-to-day things like friends  school or going out problems with your eyes  such as blurring or seeing double feeling more sleepy or drowsy than usual changes in your balance and walking  or weakness down one side of the body problems with speech personality changes
Breast cancer (female),a lump or area of thickened tissue in either breast a change in the size or shape of one or both breasts discharge from either of your nipples (which may be streaked with blood) a lump or swelling in either of your armpits dimpling on the skin of your breasts a rash on or around your nipple a change in the appearance of your nipple  such as becoming sunken into your breast
Breast cancer (male),the nipple beginning to turn in on itself (nipple retraction) the nipple becoming hard and inflamed  and looking sore (nipple ulceration) fluid leaking from the nipple (nipple discharge) bone pain swelling of the lymph nodes (glands)  usually in or around the armpit shortness of breath feeling unusually tired all the time feeling sick (nausea) itchy skin with yellowing of the skin and whites of the eyes (jaundice)
Bronchiectasis,shortness of breath wheezing coughing up blood or blood-stained phlegm chest pain joint pain clubbing of the fingertips – the tissue beneath the nail thickens and the fingertips become rounded and bulbous
Bronchitis,sore throat headache runny or blocked nose aches and pains tiredness
Brucellosis,fever. sweats. malaise. anorexia. headache. pain in muscles  joint  and/or back. fatigue. 
Bulimia,bingeing – overeating in a particular pattern purging – trying to reduce the effect of binging by attempting to get calories out of your body focus on food – thinking about food all the time  even when you don’t want to problems with self-esteem and focus on body image when it comes to food and weight
Bunion,pain and stiffness of the big toe joint swelling of the big toe joint - the foot may become so wide it can be difficult to find wide enough shoes difficulty walking arthritis in the big toe
Campylobacteriosis, diarrhea (often bloody)  fever  and stomach cramps. Nausea and vomiting may accompany the diarrhea
Carcinoid syndrome and carcinoid tumours,Symptoms caused by the tumour Symptoms will depend on where in the body the tumour develops:  a bowel carcinoid tumour may cause tummy pain  a blocked bowel (diarrhoea  constipation  feeling or being sick) and bleeding from the bottom (rectal bleeding) a lung carcinoid tumour may cause a cough  which may make you cough up blood  and cause wheezing  breathlessness  chest pain and tiredness a stomach carcinoid tumour may cause pain  weight loss  tiredness and weakness Some tumours may not cause any symptoms and are discovered by chance. For example  an appendix carcinoid tumour may only be found when the appendix is being removed for another reason.  Symptoms caused by the hormones (carcinoid syndrome) Typical symptoms of carcinoid syndrome include:  diarrhoea  tummy pain and loss of appetite flushing of the skin  particularly the face fast heart rate breathlessness and wheezing These symptoms may come on unexpectedly  as the hormones can be produced by the tumour at any time.
Catarrh,constant need to clear your throat feeling that your throat is blocked blocked or stuffy nose that you can't clear runny nose feeling of mucus running down the back of your throat persistent cough headache or facial pain reduced sense of smell and taste crackling sensation in your ear and some temporary hearing loss These problems can be frustrating to live with and may affect your sleep  making you feel tired.
Cellulitis,Cellulitis causes an area of skin to suddenly become red  hot  swollen  painful  tender It most often affects the lower legs  but can occur anywhere.
Cervical cancer,In most cases  vaginal bleeding is the first noticeable symptom of cervical cancer. It usually occurs after having sex 
Chest infection,a persistent cough coughing up yellow or green phlegm (thick mucus)  or coughing up blood breathlessness or rapid and shallow breathing wheezing a high temperature (fever) a rapid heartbeat chest pain or tightness feeling confused and disorientated
Chest pain,central chest pain or discomfort in the chest that doesn't go away – it may feel like pressure  tightness or squeezing pain that radiates down the left arm  or both arms  or to the neck  jaw  back or stomach unconsciousness seizures or fitting difficulty breathing (snoring or rasping) rapid heart beat low or undetectable heart beat blue or pale tingling of knees  hands and lips chest pain and breathlessness  nausea  sweating or coughing up blood
Chickenpox,rash that turns into itchy  fluid-filled blisters that eventually turn into scabs
Chikungunya virus disease,fever and joint pain. Other symptoms may include headache  muscle pain  joint swelling  or rash
Chilblains,Chilblains usually develop several hours after exposure to the cold. They typically cause a burning and itching sensation in the affected areas  which can become more intense if you go into a warm room.  The affected skin may also swell and turn red or dark blue.  In severe cases  the surface of the skin may break and sores or blisters can develop. 
Chlamydia infection,Painful urination. Vaginal discharge in women. Discharge from the penis in men. Painful sexual intercourse in women. Bleeding between periods and after sex in women. Testicular pain in men
Cholera,profuse watery diarrhea  sometimes described as “rice-water stools” vomiting. thirst. leg cramps. restlessness or irritability
Chronic fatigue syndrome,feeling generally unwell pain broken sleep problems with concentration  thinking and memory (‘brain fog’) speech and language problems  including word-finding difficulties poor temperature control dizziness being very sensitive to light and sound nausea loss of appetite muscle pain (myalgia)
Chronic kidney disease,weight loss and poor appetite swollen ankles  feet or hands (due to water retention)  shortness of breath  blood or protein in your urine (protein in your urine is not something you will notice as it can only be detected during a urine test)  an increased need to urinate  particularly at night  insomnia itchy skin  muscle cramps high blood pressure (hypertension) nausea  erectile dysfunction in men (an inability to get or maintain an erection)
Chronic lymphocytic leukaemia,getting infections often anaemia – persistent tiredness  shortness of breath and pale skin bleeding and bruising more easily than normal a high temperature (fever) night sweats swollen glands in your neck  armpits or groin swelling and discomfort in your tummy unintentional weight loss
Chronic myeloid leukaemia,tiredness frequent infections unexplained weight loss a feeling of bloating less commonly  swollen lymph nodes – glands found in the neck and under your arms  which are usually painless
Chronic obstructive pulmonary disease,increasing breathlessness when exercising or moving around a persistent cough with phlegm that never seems to go away frequent chest infections  particularly in winter wheezing
Chronic pain,Chronic or persistent pain is pain that carries on for longer than 12 weeks despite medication or treatment.  Most people get back to normal after pain following an injury or operation. But sometimes the pain carries on for longer or comes on without any history of an injury or operation.
Chronic pancreatitis,nausea and vomiting during the pain. As chronic pancreatitis progresses  the painful episodes may become more frequent and severe.  Although the pain sometimes occurs after eating a meal  there's often no trigger.
Ciguatera fish poisoning (CFP), nausea  vomiting  and neurologic symptoms such as tingling fingers or toes. They also may find that cold things feel hot and hot things feel cold
Cirrhosis,fever and shivering shortness of breath  vomiting blood very dark or black  tarry stools (faeces) periods of confusion or drowsiness
Clostridium difficile infection,Diarrhea. Fever. Stomach tenderness or pain. Loss of appetite. Nausea.
Coeliac disease,severe diarrhoea  excessive wind and/or constipation persistent or unexplained gastrointestinal symptoms  such as nausea and vomiting recurrent stomach pain  cramping or bloating iron  vitamin B12 or folic acid deficiency anaemia tiredness sudden or unexpected weight loss (but not in all cases) mouth ulcers skin rash (dermatitis herpetiformis) depression repeated miscarriages neurological (nerve) problems such as ataxia (loss of coordination  poor balance) and peripheral neuropathy (numbness and tingling in the hands and feet)
Cold sore,outbreak of cold sores may happen some time later
Coma,Closed eyes. Depressed brainstem reflexes  such as pupils not responding to light. No responses of limbs  except for reflex movements. No response to painful stimuli  except for reflex movements. Irregular breathing.
Common cold,a sore throat a blocked or runny nose sneezing a cough
Common heart conditions,Unstable angina. Unstable angina can be undiagnosed chest pain or a sudden worsening of existing angina. ... Heart attack. ... Heart failure. ... Arrhythmia (abnormal heart rhythms) ... Valve disease. ... High blood pressure. ... Congenital heart conditions. ... Inherited heart conditions.
Congenital heart disease,Symptoms of cyanotic heart disease The symptoms of cyanotic heart disease include:  a blue coloured tinge to the lips  fingers and toes (cyanosis) palpitations fainting fatigue chest pains breathing problems Children with cyanotic heart disease have lower levels of oxygen in their blood  this is known as hypoxia.  Sometimes  their oxygen levels can fall further and cause additional symptoms such as anxiety and confusion or disorientation.  Symptoms of acyanotic heart disease The symptoms of acyanotic heart disease include:  severe tiredness palpitations chest pain shortness of breath (particularly during activities such as climbing the stairs) Common symptoms of congenital heart disease There are some symptoms that are present in both cyanotic and acyanotic heart disease.  These include:  poor appetite and feeding difficulties sweating  particularly when a baby is feeding delayed growth Children with acyanotic heart disease are usually underweight  and children with cyanotic heart disease are usually underweight and small for their age.
Congenital rubella,Heart problems. Eye problems  including cataracts and glaucoma. Intellectual disabilities. Growth retardation. Low birth weight. Developmental delays. Learning disabilities. Deafness
Congenital syphilis,Deformed bones  Severe anemia (low blood count)  Enlarged liver and spleen  Jaundice (yellowing of the skin or eyes)  Brain and nerve problems  like blindness or deafness  Meningitis  and. Skin rashes
Conjunctivitis,eye redness – as a result of the inflammation and widening of the tiny blood vessels in the conjunctiva (the thin layer of cells covering the front of the eyes) a discharge – the conjunctiva contains thousands of cells that produce mucus and tiny glands that produce tears – inflammation causes the glands to become overactive  so that they produce more water and mucus
Constipation,stomach ache and cramps  feeling bloated feeling sick loss of appetite
Cough,A runny or stuffy nose. A feeling of liquid running down the back of your throat (postnasal drip) Frequent throat clearing and sore throat. Hoarseness. Wheezing and shortness of breath. Heartburn or a sour taste in your mouth.
COVID-19,Most common symptoms: fever cough tiredness loss of taste or smell Less common symptoms: sore throat headache aches and pains diarrhoea a rash on skin  or discolouration of fingers or toes red or irritated eyes Serious symptoms: difficulty breathing or shortness of breath loss of speech or mobility  or confusion chest pain
Cowpox, painful macular lesion which later becomes a hard black eschar with surrounding edema and erythema. Local lymphadenopathy and systemic symptoms such as fever and vomiting may be present
Coxsackievirus,fever  poor appetite  runny nose and sore throat can appear three to five days after exposure. A blister-like rash on the hands  feet and in the mouth usually develops one to two days after the initial symptoms
Creutzfeldt-Jakob disease,loss of intellect and memory. changes in personality. loss of balance and co-ordination. slurred speech. vision problems and blindness. abnormal jerking movements. progressive loss of brain function and mobility
Crimean-Congo haemorrhagic fever,headache  high fever  back pain  joint pain  stomach pain  and vomiting. Red eyes  a flushed face  a red throat  and petechiae (red spots) on the palate
Crohn's disease,recurring diarrhoea abdominal pain and cramping  which is usually worse after eating extreme tiredness (fatigue) unintended weight loss blood and mucus in your faeces (stools)
Croup,a bark-like cough a hoarse or croaky voice difficulty breathing a harsh grating sound when breathing in  called stridor
Cryptosporidiosis,Watery diarrhea. Stomach cramps or pain. Dehydration. Nausea. Vomiting. Fever. Weight loss
Cutaneous warts,Small  fleshy  grainy bumps. Rough to the touch. Sprinkled with black pinpoints  which are small  clotted blood vessels
Cystic fibrosis,Symptoms tend to start in early childhood  but sometimes they can develop soon after birth and very occasionally they may not be obvious until adulthood. Lung problems digestive system problems sinusitis nasal polyps thin  weakened bones (osteoporosis) – this can occur as a result of repeated infections  poor growth  lack of physical activity and malnutrition swelling and pain in the joints (arthritis or arthralgia) from late childhood difficulty conceiving children – most men with cystic fibrosis are unable to have children naturally (although some fertility treatments may still work) because the tubes that carry sperm don't develop correctly; women can become pregnant  however liver problems caused by the tiny bile ducts in the liver becoming blocked by mucus leaking of small amounts of urine  particularly during coughing fits (stress incontinence)
Cystitis,pain  burning or stinging when you pee needing to pee more often and urgently than normal feeling like you need to pee again soon after going to the toilet urine that's dark  cloudy or strong-smelling pain low down in your tummy feeling generally unwell  achy  sick and tired blood in your urine
Deafblindness,Signs of a hearing problem Hearing loss can occur from birth or may develop gradually or suddenly later on.  Signs that someone may have a problem with their hearing include:  not hearing you if you speak to them from behind needing to turn up the volume on the television or radio difficulty following a conversation – particularly if several people are speaking or the person they're speaking to is unfamiliar not hearing noises around them  such as a knock at the door or the doorbell ringing asking others to speak loudly  slowly and more clearly leaning in very close to hear what's being said If someone already has a hearing problem – for example  they wear a hearing aid or use sign language – keep an eye out for signs of vision problems that could develop (see below).  Signs of a vision problem Vision loss can also be present from birth or develop later on.  Signs that someone may have a problem with their vision include:  problems seeing in low light or bright light difficulty recognising people they know finding it hard to read facial expressions relying on touch to find and identify items more than usual needing to hold books or newspapers close to their face  or sitting near the television difficulty moving around unfamiliar places – they may bump into or trip over things regularly not looking directly at you or making proper eye cont
Deep vein thrombosis,pain  swelling and tenderness in one of your legs (usually your calf or thigh) a heavy ache in the affected area warm skin in the area of the clot red skin  particularly at the back of your leg below the knee
Dehydration,feeling thirsty and lightheaded a dry mouth tiredness having dark coloured  strong-smelling urine passing urine less often than usua
Dementia,Experiencing memory loss  poor judgment  and confusion. Difficulty speaking  understanding and expressing thoughts  or reading and writing. Wandering and getting lost in a familiar neighborhood. Trouble handling money responsibly and paying bills. Repeating questions.
Dementia with Lewy bodies,The symptoms of dementia with Lewy bodies usually develop gradually and become more severe over the course of a few years.  Like other forms of dementia  the condition causes problems with:  thinking speed language understanding judgement memory (although significant memory loss may not occur until later on) People with dementia with Lewy bodies may also have other symptoms that can help distinguish it from other types of dementia  such as:  extreme swings between alertness and confusion or drowsiness  which may happen unexpectedly and change from hour to hour or day to day slow movement  stiff limbs  and tremors (as seen in Parkinson's disease)  which cause shuffling when walking seeing or hearing things that aren't real (hallucinations)  which can range from pleasant to distressing fainting  unsteadiness  and falls  sleep disturbances  which can cause talking in your sleep or acting out dreams loss of facial expression difficulty swallowing (dysphagia) depression  These symptom
Dengue,Nausea  vomiting. Rash. Aches and pains (eye pain  typically behind the eyes  muscle  joint  or bone pain)
Dental abscess,an intense  throbbing pain in the affected tooth or gum that may come on suddenly and gets gradually worse pain that spreads to your ear  jaw and neck on the same side as the affected tooth or gum pain that's worse when lying down  which may disturb your sleep redness and swelling in your face a tender  discoloured and/or loose tooth shiny  red and swollen gums sensitivity to hot or cold food and drink bad breath and/or an unpleasant taste in your mouth
Depression,Feelings of sadness. Loss of interest in once-enjoyed activities. Angry outbursts. Sleep issues. Lack of energy. Anxiety. Weight loss or loss of appetite. Feelings of worthlessness and guilt.
Dermatitis herpetiformis,red  raised patches often with blisters that burst with scratching severe itching and often stinging
Diabetes,Urinate (pee) a lot  often at night. Are very thirsty. Lose weight without trying. Are very hungry. Have blurry vision. Have numb or tingling hands or feet. Feel very tired. Have very dry skin.
Diarrhoea,stomach cramps nausea and vomiting headache loss of appetite
Diphtheria,a thick grey-white coating that may cover the back of your throat  nose and tongue. a high temperature (fever) sore throat. swollen glands in your neck. difficulty breathing and swallowing. 
Discoid eczema,Discoid eczema causes distinctive circular or oval patches of eczema.  The patches can appear anywhere on the body
Diverticular disease and diverticulitis,abdominal pain  bloating and a change in normal bowel habits.
Dizziness (Lightheadedness),feeling lightheaded or off balance have fainting episodes  experience headaches
Down's syndrome,A flattened face  especially the bridge of the nose. Almond-shaped eyes that slant up. A short neck. Small ears. A tongue that tends to stick out of the mouth. Tiny white spots on the iris (colored part) of the eye. Small hands and feet. A single line across the palm of the hand (palmar crease)
Dry mouth,a burning sensation or soreness in your mouth dry lips bad breath (halitosis) a decreased or altered sense of taste recurrent mouth infections  such as oral thrush tooth decay and gum disease difficulty speaking  eating or swallowing
Dysphagia (swallowing problems),coughing or choking when eating or drinking bringing food back up  sometimes through the nose a sensation that food is stuck in your throat or chest persistent drooling of saliva 
Dystonia,muscle spasms having an abnormal  twisted posture a foot  leg or arm turning inwards body parts jerking rapidly
Earache, high temperature (fever)  vomiting  a severe sore throat  hearing loss  swelling around the ear  or discharge from the ear
Earwax build-up,earache. hearing loss. tinnitus (hearing sounds from inside your body) itchiness in or around the ear. vertigo (a spinning sensation) ear infections.
Ebola haemorrhagic fever,Fever. Aches and pains  such as severe headache and muscle and joint pain. Weakness and fatigue. Sore throat. Loss of appetite. Gastrointestinal symptoms including abdominal pain  diarrhea  and vomiting. Unexplained hemorrhaging  bleeding or bruising.
Ebola virus disease,Fever. Aches and pains  such as severe headache and muscle and joint pain. Weakness and fatigue. Sore throat. Loss of appetite. Gastrointestinal symptoms including abdominal pain  diarrhea  and vomiting
Echinococcosis,Pain or discomfort in the upper abdominal region or chest  nausea  vomiting  or coughing may occur as a result of the growing cysts
Ectopic pregnancy,a missed period and other signs of pregnancy. tummy pain low down on one side. vaginal bleeding or a brown watery discharge. pain in the tip of your shoulder. discomfort when peeing or pooing.
Endometriosis,pain in your lower tummy or back (pelvic pain) – usually worse during your period. period pain that stops you doing your normal activities. pain during or after sex. pain when peeing or pooing during your period. feeling sick  constipation  diarrhoea  or blood in your pee or poo during your period.
Enteric fever,Enteric Fever. Salmonella Typhi Infection. Typhoid Fever
